id,product_num,featured,price,purchase,yogurt_1,yogurt_2,yogurt_3
1,1,0.0,0.108,0.0,1,0,0
1,2,0.0,0.081,0.0,0,1,0
1,3,0.0,0.061000001,0.0,0,0,1
1,4,0.0,0.079000004,1.0,0,0,0
2,1,0.0,0.108,0.0,1,0,0
2,2,0.0,0.097999997,1.0,0,1,0
2,3,0.0,0.064000003,0.0,0,0,1
2,4,0.0,0.075000003,0.0,0,0,0
3,1,0.0,0.108,0.0,1,0,0
3,2,0.0,0.097999997,1.0,0,1,0
3,3,0.0,0.061000001,0.0,0,0,1
3,4,0.0,0.086000003,0.0,0,0,0
4,1,0.0,0.108,0.0,1,0,0
4,2,0.0,0.097999997,1.0,0,1,0
4,3,0.0,0.061000001,0.0,0,0,1
4,4,0.0,0.086000003,0.0,0,0,0
5,1,0.0,0.125,0.0,1,0,0
5,2,0.0,0.097999997,1.0,0,1,0
5,3,0.0,0.048999999,0.0,0,0,1
5,4,0.0,0.079000004,0.0,0,0,0
6,1,0.0,0.108,0.0,1,0,0
6,2,0.0,0.092,1.0,0,1,0
6,3,0.0,0.050000001,0.0,0,0,1
6,4,0.0,0.079000004,0.0,0,0,0
7,1,0.0,0.103,0.0,1,0,0
7,2,0.0,0.081,1.0,0,1,0
7,3,0.0,0.048999999,0.0,0,0,1
7,4,0.0,0.079000004,0.0,0,0,0
8,1,0.0,0.108,0.0,1,0,0
8,2,0.0,0.086000003,0.0,0,1,0
8,3,0.0,0.054000001,0.0,0,0,1
8,4,0.0,0.079000004,1.0,0,0,0
9,1,0.0,0.108,1.0,1,0,0
9,2,0.0,0.097999997,0.0,0,1,0
9,3,0.0,0.050000001,0.0,0,0,1
9,4,0.0,0.079000004,0.0,0,0,0
10,1,0.0,0.108,1.0,1,0,0
10,2,0.0,0.097999997,0.0,0,1,0
10,3,0.0,0.050000001,0.0,0,0,1
10,4,0.0,0.079000004,0.0,0,0,0
11,1,0.0,0.108,1.0,1,0,0
11,2,0.0,0.097999997,0.0,0,1,0
11,3,0.0,0.050000001,0.0,0,0,1
11,4,0.0,0.079000004,0.0,0,0,0
12,1,0.0,0.108,1.0,1,0,0
12,2,0.0,0.097999997,0.0,0,1,0
12,3,0.0,0.050000001,0.0,0,0,1
12,4,0.0,0.079000004,0.0,0,0,0
13,1,0.0,0.108,0.0,1,0,0
13,2,0.0,0.081,0.0,0,1,0
13,3,0.0,0.050000001,0.0,0,0,1
13,4,0.0,0.086000003,1.0,0,0,0
14,1,0.0,0.108,0.0,1,0,0
14,2,0.0,0.081,0.0,0,1,0
14,3,0.0,0.050000001,0.0,0,0,1
14,4,0.0,0.086000003,1.0,0,0,0
15,1,0.0,0.108,0.0,1,0,0
15,2,0.0,0.081,0.0,0,1,0
15,3,0.0,0.050000001,0.0,0,0,1
15,4,0.0,0.079000004,1.0,0,0,0
16,1,0.0,0.108,0.0,1,0,0
16,2,0.0,0.081,0.0,0,1,0
16,3,0.0,0.050000001,0.0,0,0,1
16,4,0.0,0.079000004,1.0,0,0,0
17,1,0.0,0.108,0.0,1,0,0
17,2,0.0,0.081,0.0,0,1,0
17,3,0.0,0.050000001,0.0,0,0,1
17,4,0.0,0.079000004,1.0,0,0,0
18,1,0.0,0.108,0.0,1,0,0
18,2,0.0,0.081,0.0,0,1,0
18,3,0.0,0.050000001,0.0,0,0,1
18,4,0.0,0.079000004,1.0,0,0,0
19,1,0.0,0.108,0.0,1,0,0
19,2,0.0,0.081,0.0,0,1,0
19,3,0.0,0.050000001,0.0,0,0,1
19,4,0.0,0.079000004,1.0,0,0,0
20,1,0.0,0.108,0.0,1,0,0
20,2,0.0,0.081,0.0,0,1,0
20,3,0.0,0.050000001,0.0,0,0,1
20,4,0.0,0.081,1.0,0,0,0
21,1,0.0,0.108,0.0,1,0,0
21,2,0.0,0.081,0.0,0,1,0
21,3,0.0,0.050000001,0.0,0,0,1
21,4,0.0,0.079000004,1.0,0,0,0
22,1,0.0,0.108,0.0,1,0,0
22,2,0.0,0.081,0.0,0,1,0
22,3,0.0,0.050000001,0.0,0,0,1
22,4,0.0,0.079000004,1.0,0,0,0
23,1,0.0,0.108,0.0,1,0,0
23,2,0.0,0.081,0.0,0,1,0
23,3,0.0,0.050000001,0.0,0,0,1
23,4,0.0,0.079000004,1.0,0,0,0
24,1,0.0,0.108,0.0,1,0,0
24,2,0.0,0.081,0.0,0,1,0
24,3,0.0,0.050000001,0.0,0,0,1
24,4,0.0,0.081,1.0,0,0,0
25,1,0.0,0.112,0.0,1,0,0
25,2,0.0,0.081,0.0,0,1,0
25,3,0.0,0.050000001,0.0,0,0,1
25,4,0.0,0.079000004,1.0,0,0,0
26,1,0.0,0.112,0.0,1,0,0
26,2,0.0,0.081,0.0,0,1,0
26,3,0.0,0.050000001,0.0,0,0,1
26,4,0.0,0.079000004,1.0,0,0,0
27,1,0.0,0.112,0.0,1,0,0
27,2,0.0,0.081,0.0,0,1,0
27,3,0.0,0.050000001,0.0,0,0,1
27,4,0.0,0.079000004,1.0,0,0,0
28,1,0.0,0.108,0.0,1,0,0
28,2,0.0,0.081,0.0,0,1,0
28,3,0.0,0.050000001,0.0,0,0,1
28,4,0.0,0.081,1.0,0,0,0
29,1,0.0,0.11,0.0,1,0,0
29,2,0.0,0.048999999,1.0,0,1,0
29,3,0.0,0.061000001,0.0,0,0,1
29,4,0.0,0.079000004,0.0,0,0,0
30,1,0.0,0.103,0.0,1,0,0
30,2,0.0,0.044,1.0,0,1,0
30,3,0.0,0.048999999,0.0,0,0,1
30,4,0.0,0.079000004,0.0,0,0,0
31,1,0.0,0.103,0.0,1,0,0
31,2,0.0,0.044,1.0,0,1,0
31,3,0.0,0.048999999,0.0,0,0,1
31,4,0.0,0.079000004,0.0,0,0,0
32,1,0.0,0.032000002,1.0,1,0,0
32,2,0.0,0.094999999,0.0,0,1,0
